,all_spl_values,occurance_times,ids,origin,emitter_id,bat_direction,incident_direction,type,reflected_from,sound_object_id,bat_last_call_time,sound_direction,theta,bat_position,distance_from_bat,creation_time,received_spl,time,duration
80,"[np.float64(69.80611092106346), np.float64(69.8024190637806)]","[np.float64(0.9510000000000001), np.float64(0.9520000000000001)]","[UUID('d2fb8a05-e2d6-4386-b7c8-696ef9ee35c7'), UUID('d2fb8a05-e2d6-4386-b7c8-696ef9ee35c7')]","(np.float64(3.57009), np.float64(6.99996))",0,"Vector(0.560, 0.829)","Vector(-1.641, 0.693)",echo,wall_obstacle_32,d2fb8a05-e2d6-4386-b7c8-696ef9ee35c7,0.9400000000000001,"Vector(0.913, -0.408)",-165.2562984990712,"Vector(5.211, 6.307)",1.7812060443699376,0.9451738227137549,69.804,0.951,0.002
81,"[np.float64(73.24631591867808), np.float64(73.24375130570408)]","[np.float64(0.9520000000000001), np.float64(0.9530000000000001)]","[UUID('60dd4cd4-4a02-48eb-b44f-710309b244c4'), UUID('60dd4cd4-4a02-48eb-b44f-710309b244c4')]","(np.int64(9), np.int64(0))",17,"Vector(0.560, 0.829)","Vector(3.788, -6.309)",direct,,60dd4cd4-4a02-48eb-b44f-710309b244c4,0.9400000000000001,"Vector(0.000, 1.000)",-21.367546491113814,"Vector(5.212, 6.309)",7.3586220715905775,0.93,73.245,0.952,0.002
82,"[np.float64(64.70384450271798), np.float64(64.70056117578072)]","[np.float64(0.9520000000000001), np.float64(0.9530000000000001)]","[UUID('9194dada-75df-43de-90bb-631a2446e5db'), UUID('9194dada-75df-43de-90bb-631a2446e5db')]","(np.float64(8.6701), np.float64(0.0))",17,"Vector(0.560, 0.829)","Vector(3.458, -6.309)",echo,wall_obstacle_61,9194dada-75df-43de-90bb-631a2446e5db,0.9400000000000001,"Vector(1.000, 0.000)",-23.62069326010561,"Vector(5.212, 6.309)",7.194382107623976,0.930961807580175,64.702,0.952,0.002
83,"[np.float64(86.42606591542783), np.float64(86.43373072986229)]","[np.float64(1.047), np.float64(1.048)]","[UUID('61a11b3a-4aaa-4a65-8cc1-662dcaa5b071'), UUID('61a11b3a-4aaa-4a65-8cc1-662dcaa5b071')]","(np.float64(5.10005), np.float64(6.99991))",0,"Vector(0.760, 0.649)","Vector(-0.303, 0.481)",echo,wall_obstacle_35,61a11b3a-4aaa-4a65-8cc1-662dcaa5b071,1.043,"Vector(0.512, -0.859)",159.92021482399997,"Vector(5.403, 6.519)",0.5683661288289442,1.044663900280468,86.43,1.047,0.002
84,"[np.float64(82.14049733600899), np.float64(82.18794654506505)]","[np.float64(1.047), np.float64(1.048)]","[UUID('0550bea0-b6cf-4236-a046-0e60deca57f5'), UUID('0550bea0-b6cf-4236-a046-0e60deca57f5')]","(np.float64(5.60996), np.float64(6.99991))",0,"Vector(0.760, 0.649)","Vector(0.206, 0.481)",echo,wall_obstacle_36,0550bea0-b6cf-4236-a046-0e60deca57f5,1.043,"Vector(-0.406, -0.914)",104.40372962575458,"Vector(5.403, 6.519)",0.5230817145532809,1.0445643761069838,82.164,1.047,0.002
85,"[np.float64(68.8301861825795), np.float64(68.83369759251413)]","[np.float64(1.048), np.float64(1.049)]","[UUID('54e09a93-4448-41ee-8b55-d9dc4520fd5f'), UUID('54e09a93-4448-41ee-8b55-d9dc4520fd5f')]","(np.int64(4), np.int64(10))",30,"Vector(0.760, 0.649)","Vector(-1.406, 3.479)",direct,,54e09a93-4448-41ee-8b55-d9dc4520fd5f,1.043,"Vector(0.000, -1.000)",149.65803780120757,"Vector(5.406, 6.521)",3.7520347879650586,1.037,68.832,1.048,0.002
86,"[np.float64(63.921622259295745), np.float64(63.92805859744857)]","[np.float64(1.048), np.float64(1.049)]","[UUID('41d31b98-2e0f-49be-9636-1c54d1b6b9d9'), UUID('41d31b98-2e0f-49be-9636-1c54d1b6b9d9')]","(np.float64(5.09997), np.float64(7.00009))",30,"Vector(0.760, 0.649)","Vector(-0.306, 0.479)",echo,wall_obstacle_35,41d31b98-2e0f-49be-9636-1c54d1b6b9d9,1.043,"Vector(-0.344, 0.939)",160.21675928737164,"Vector(5.406, 6.521)",0.568136935342176,1.0463154933971643,63.925,1.048,0.002
87,"[np.float64(60.60919073503573), np.float64(60.59876143507747)]","[np.float64(1.049), np.float64(1.05)]","[UUID('b9366ddc-89e7-4691-90c9-e2df14849603'), UUID('b9366ddc-89e7-4691-90c9-e2df14849603')]","(np.float64(4.58998), np.float64(7.0001))",30,"Vector(0.760, 0.649)","Vector(-0.818, 0.477)",echo,wall_obstacle_34,b9366ddc-89e7-4691-90c9-e2df14849603,1.043,"Vector(-0.193, 0.981)",-172.58592331361254,"Vector(5.408, 6.523)",0.9469054200922076,1.0459135985172354,60.604,1.049,0.002
88,"[np.float64(81.14181287118531), np.float64(81.13233713449478)]","[np.float64(1.049), np.float64(1.05)]","[UUID('9790e7d1-3cd7-49d2-b192-ef66918ef00d'), UUID('9790e7d1-3cd7-49d2-b192-ef66918ef00d')]","(np.float64(4.59009), np.float64(6.99995))",0,"Vector(0.760, 0.649)","Vector(-0.818, 0.477)",echo,wall_obstacle_34,9790e7d1-3cd7-49d2-b192-ef66918ef00d,1.043,"Vector(0.853, -0.522)",-172.58143346680527,"Vector(5.408, 6.523)",0.9467348473569567,1.0457406089443375,81.137,1.049,0.002
89,"[np.float64(72.99983291762878), np.float64(73.03281354044641)]","[np.float64(1.049), np.float64(1.05)]","[UUID('8147448d-c26e-400b-a3ab-71894fa56321'), UUID('8147448d-c26e-400b-a3ab-71894fa56321')]","(np.float64(6.11992), np.float64(6.99994))",0,"Vector(0.760, 0.649)","Vector(0.712, 0.477)",echo,wall_obstacle_37,8147448d-c26e-400b-a3ab-71894fa56321,1.043,"Vector(-0.829, -0.559)",71.4634863109494,"Vector(5.408, 6.523)",0.8567723530786926,1.0455586942753148,73.016,1.049,0.002
90,"[np.float64(63.031127434816156), np.float64(63.07825175088265)]","[np.float64(1.049), np.float64(1.05)]","[UUID('6d87958f-f283-4d52-ba24-9cf07fd9b299'), UUID('6d87958f-f283-4d52-ba24-9cf07fd9b299')]","(np.float64(5.60995), np.float64(7.00009))",30,"Vector(0.760, 0.649)","Vector(0.202, 0.477)",echo,wall_obstacle_36,6d87958f-f283-4d52-ba24-9cf07fd9b299,1.043,"Vector(-0.473, 0.881)",104.70581219137944,"Vector(5.408, 6.523)",0.5178669914176806,1.046925989417847,63.055,1.049,0.002
91,"[np.float64(65.60449609035906), np.float64(65.62588115595507)]","[np.float64(1.051), np.float64(1.052)]","[UUID('497daffe-dee9-4959-b1b6-d5b2e9b42ba6'), UUID('497daffe-dee9-4959-b1b6-d5b2e9b42ba6')]","(np.float64(6.62991), np.float64(6.99996))",0,"Vector(0.760, 0.649)","Vector(1.217, 0.473)",echo,wall_obstacle_38,497daffe-dee9-4959-b1b6-d5b2e9b42ba6,1.043,"Vector(-0.930, -0.368)",58.88245414806723,"Vector(5.413, 6.527)",1.3059307427654805,1.046881757539429,65.615,1.051,0.002
92,"[np.float64(60.946285386053134), np.float64(60.945769219061084)]","[np.float64(1.052), np.float64(1.053)]","[UUID('3ae35be9-2e57-44f9-abb1-2ad18a968ca6'), UUID('3ae35be9-2e57-44f9-abb1-2ad18a968ca6')]","(np.int64(10), np.int64(1))",18,"Vector(0.760, 0.649)","Vector(4.585, -5.529)",direct,,3ae35be9-2e57-44f9-abb1-2ad18a968ca6,1.043,"Vector(-1.000, 0.000)",-12.677286744584592,"Vector(5.415, 6.529)",7.182890894375329,1.031,60.946,1.052,0.002
93,"[np.float64(69.83631930188542), np.float64(69.83657723193103)]","[np.float64(1.052), np.float64(1.053)]","[UUID('19b554f3-af71-478a-b3c0-f5f13764d397'), UUID('19b554f3-af71-478a-b3c0-f5f13764d397')]","(np.float64(10.0), np.float64(1.0199))",18,"Vector(0.760, 0.649)","Vector(4.585, -5.509)",echo,wall_obstacle_14,19b554f3-af71-478a-b3c0-f5f13764d397,1.043,"Vector(0.000, -1.000)",-12.575742450218286,"Vector(5.415, 6.529)",7.167584043630042,1.0310580174927113,69.836,1.052,0.002
94,[np.float64(74.81404719335868)],[np.float64(1.052)],[UUID('86b25336-4260-4e10-b9b5-747d5317e59e')],"(np.float64(4.08009), np.float64(6.99996))",0,"Vector(0.760, 0.649)","Vector(-1.333, 0.473)",echo,wall_obstacle_33,86b25336-4260-4e10-b9b5-747d5317e59e,1.043,"Vector(0.937, -0.350)",-161.8831728926773,"Vector(5.413, 6.527)",1.4139106663788912,1.0470834894572876,74.814,1.052,0.001
