,all_spl_values,occurance_times,ids,origin,emitter_id,bat_direction,incident_direction,type,reflected_from,sound_object_id,bat_last_call_time,sound_direction,theta,bat_position,distance_from_bat,creation_time,received_spl,time,duration
186,"[np.float64(66.76005975780065), np.float64(66.76692419076937)]","[np.float64(1.653), np.float64(1.6540000000000001)]","[UUID('8f592e00-105f-4657-b421-a26c4c35ad81'), UUID('8f592e00-105f-4657-b421-a26c4c35ad81')]","(np.int64(10), np.int64(3))",20,"Vector(0.642, -0.767)","Vector(2.970, -3.384)",direct,,8f592e00-105f-4657-b421-a26c4c35ad81,1.6480000000000001,"Vector(-1.000, 0.000)",-11.073416313798617,"Vector(7.030, 6.384)",4.501973436172187,1.639,66.763,1.653,0.002
187,"[np.float64(68.1986447952303), np.float64(68.2095726033462)]","[np.float64(1.653), np.float64(1.6540000000000001)]","[UUID('8aa49b33-23de-4382-b8de-e226b6213a0c'), UUID('8aa49b33-23de-4382-b8de-e226b6213a0c')]","(np.float64(10.0), np.float64(3.0599))",20,"Vector(0.642, -0.767)","Vector(2.970, -3.324)",echo,wall_obstacle_18,8aa49b33-23de-4382-b8de-e226b6213a0c,1.6480000000000001,"Vector(0.000, -1.000)",-10.565486410421101,"Vector(7.030, 6.384)",4.45712857723445,1.639174635568513,68.204,1.653,0.002
188,"[np.float64(66.7430978624648), np.float64(66.75091981949984)]","[np.float64(1.653), np.float64(1.6540000000000001)]","[UUID('38712106-1f81-47f9-85b0-31c10c725d33'), UUID('38712106-1f81-47f9-85b0-31c10c725d33')]","(np.float64(10.0), np.float64(4.5901))",22,"Vector(0.642, -0.767)","Vector(2.970, -1.794)",echo,wall_obstacle_21,38712106-1f81-47f9-85b0-31c10c725d33,1.6480000000000001,"Vector(0.000, 1.000)",6.524739118381461,"Vector(7.030, 6.384)",3.4692354353661274,1.6421950437317785,66.747,1.653,0.002
189,"[np.float64(73.83154880339222), np.float64(73.83314454134712)]","[np.float64(1.6540000000000001), np.float64(1.655)]","[UUID('e8bf7146-cd00-4e37-8099-82ed8751c789'), UUID('e8bf7146-cd00-4e37-8099-82ed8751c789')]","(np.int64(5), np.int64(0))",13,"Vector(0.642, -0.767)","Vector(-2.032, -6.381)",direct,,e8bf7146-cd00-4e37-8099-82ed8751c789,1.6480000000000001,"Vector(0.000, 1.000)",-70.01059574431768,"Vector(7.032, 6.381)",6.697113232580139,1.6340000000000001,73.832,1.654,0.002
190,"[np.float64(64.09524865347652), np.float64(64.09713020098286)]","[np.float64(1.6540000000000001), np.float64(1.655)]","[UUID('1a7ad8a4-c80c-41d6-955b-3377d8020660'), UUID('1a7ad8a4-c80c-41d6-955b-3377d8020660')]","(np.float64(5.0999), np.float64(0.0))",13,"Vector(0.642, -0.767)","Vector(-1.932, -6.381)",echo,wall_obstacle_54,1a7ad8a4-c80c-41d6-955b-3377d8020660,1.6480000000000001,"Vector(-1.000, 0.000)",-69.1925752608612,"Vector(7.032, 6.381)",6.667477792388963,1.634291253644315,64.096,1.654,0.002
191,"[np.float64(65.29942625393463), np.float64(65.29658960239514)]","[np.float64(1.6540000000000001), np.float64(1.655)]","[UUID('dd3f9bc2-bd1d-464b-9e87-d2cfa55b27c6'), UUID('dd3f9bc2-bd1d-464b-9e87-d2cfa55b27c6')]","(np.float64(7.64993), np.float64(6.99993))",0,"Vector(0.642, -0.767)","Vector(0.618, 0.619)",echo,wall_obstacle_40,dd3f9bc2-bd1d-464b-9e87-d2cfa55b27c6,1.6480000000000001,"Vector(-0.723, -0.691)",82.69809377111312,"Vector(7.032, 6.381)",0.8741822241386518,1.6505438351657673,65.298,1.654,0.002
192,"[np.float64(73.87750235095005), np.float64(73.8817598173819)]","[np.float64(1.655), np.float64(1.6560000000000001)]","[UUID('91973365-9c97-4ac6-9c56-174eb1b2e78e'), UUID('91973365-9c97-4ac6-9c56-174eb1b2e78e')]","(np.int64(9), np.int64(0))",17,"Vector(0.642, -0.767)","Vector(1.966, -6.379)",direct,,91973365-9c97-4ac6-9c56-174eb1b2e78e,1.6480000000000001,"Vector(0.000, 1.000)",-35.21776383486062,"Vector(7.034, 6.379)",6.675053889879841,1.635,73.88,1.655,0.002
193,"[np.float64(61.198616754075694), np.float64(61.204877380359235)]","[np.float64(1.655), np.float64(1.6560000000000001)]","[UUID('41b61468-938e-4d46-b8ed-bbcdc2d7c624'), UUID('41b61468-938e-4d46-b8ed-bbcdc2d7c624')]","(np.float64(10.0), np.float64(2.5501))",20,"Vector(0.642, -0.767)","Vector(2.966, -3.829)",echo,wall_obstacle_17,41b61468-938e-4d46-b8ed-bbcdc2d7c624,1.6480000000000001,"Vector(0.000, 1.000)",-14.584682174382804,"Vector(7.034, 6.379)",4.843213462031175,1.6403116618075801,61.202,1.655,0.002
194,"[np.float64(64.48223699500794), np.float64(64.48745994015484)]","[np.float64(1.6560000000000001), np.float64(1.657)]","[UUID('47fbb27f-6e34-49a3-8fda-dc1caa58a097'), UUID('47fbb27f-6e34-49a3-8fda-dc1caa58a097')]","(np.float64(4.5901), np.float64(0.0))",13,"Vector(0.642, -0.767)","Vector(-2.446, -6.377)",echo,wall_obstacle_53,47fbb27f-6e34-49a3-8fda-dc1caa58a097,1.6480000000000001,"Vector(1.000, 0.000)",-73.33142445753653,"Vector(7.036, 6.377)",6.829749187078542,1.6351950437317786,64.485,1.656,0.002
195,"[np.float64(67.01215525134367), np.float64(67.02033377946074)]","[np.float64(1.6560000000000001), np.float64(1.657)]","[UUID('c42793ab-7a16-41de-95ca-58490e3e1d33'), UUID('c42793ab-7a16-41de-95ca-58490e3e1d33')]","(np.float64(8.6701), np.float64(0.0))",17,"Vector(0.642, -0.767)","Vector(1.634, -6.377)",echo,wall_obstacle_61,c42793ab-7a16-41de-95ca-58490e3e1d33,1.6480000000000001,"Vector(1.000, 0.000)",-37.97298301438491,"Vector(7.036, 6.377)",6.582743649755776,1.635961807580175,67.016,1.656,0.002
196,[np.float64(71.94196828675202)],[np.float64(1.657)],[UUID('d1f4d2bf-663d-4855-be77-9f0916dbc4a2')],"(np.int64(3), np.int64(0))",11,"Vector(0.642, -0.767)","Vector(-4.036, -6.377)",direct,,d1f4d2bf-663d-4855-be77-9f0916dbc4a2,1.6480000000000001,"Vector(0.000, 1.000)",-84.6769477129987,"Vector(7.036, 6.377)",7.546698693362549,1.6340000000000001,71.942,1.657,0.001
197,"[np.float64(66.6895799341582), np.float64(66.68969116681592)]","[np.float64(1.657), np.float64(1.6580000000000001)]","[UUID('4c4e6fa3-3adf-4baa-a39a-3cdca28e6995'), UUID('4c4e6fa3-3adf-4baa-a39a-3cdca28e6995')]","(np.float64(3.0599), np.float64(0.0))",11,"Vector(0.642, -0.767)","Vector(-3.978, -6.374)",echo,wall_obstacle_50,4c4e6fa3-3adf-4baa-a39a-3cdca28e6995,1.6480000000000001,"Vector(-1.000, 0.000)",-84.312751655754,"Vector(7.038, 6.374)",7.513898393696843,1.6341746355685132,66.69,1.657,0.002
198,"[np.float64(61.52895500145243), np.float64(61.532494719263546)]","[np.float64(1.659), np.float64(1.6600000000000001)]","[UUID('2c7eb1af-0474-42a2-910e-708fb4a0c6f5'), UUID('2c7eb1af-0474-42a2-910e-708fb4a0c6f5')]","(np.float64(2.5501), np.float64(0.0))",11,"Vector(0.642, -0.767)","Vector(-4.492, -6.370)",echo,wall_obstacle_49,2c7eb1af-0474-42a2-910e-708fb4a0c6f5,1.6480000000000001,"Vector(1.000, 0.000)",-87.53553717401154,"Vector(7.042, 6.370)",7.794261653934901,1.6353116618075803,61.531,1.659,0.002
199,"[np.float64(71.84658097039821), np.float64(71.84461728904779)]","[np.float64(1.748), np.float64(1.749)]","[UUID('2fbe50e6-95d2-407c-a9b1-67b8b2ad85fa'), UUID('2fbe50e6-95d2-407c-a9b1-67b8b2ad85fa')]","(np.int64(3), np.int64(0))",11,"Vector(0.814, -0.580)","Vector(-4.238, -6.190)",direct,,2fbe50e6-95d2-407c-a9b1-67b8b2ad85fa,1.746,"Vector(0.000, 1.000)",-86.74375727509312,"Vector(7.238, 6.190)",7.501650700052623,1.726,71.846,1.748,0.002
200,"[np.float64(66.6212347703343), np.float64(66.61961618649178)]","[np.float64(1.748), np.float64(1.749)]","[UUID('c140219d-27c9-43d8-94b0-9e4c45cc044e'), UUID('c140219d-27c9-43d8-94b0-9e4c45cc044e')]","(np.float64(3.0599), np.float64(0.0))",11,"Vector(0.814, -0.580)","Vector(-4.178, -6.190)",echo,wall_obstacle_50,c140219d-27c9-43d8-94b0-9e4c45cc044e,1.746,"Vector(-1.000, 0.000)",-86.36455371962388,"Vector(7.238, 6.190)",7.467974212301486,1.726174635568513,66.62,1.748,0.002
201,"[np.float64(70.4813767314911), np.float64(70.48353321680665)]","[np.float64(1.749), np.float64(1.75)]","[UUID('eead5fec-1534-43f0-bbe7-8ba25550259e'), UUID('eead5fec-1534-43f0-bbe7-8ba25550259e')]","(np.int64(10), np.int64(8))",25,"Vector(0.814, -0.580)","Vector(2.760, 1.812)",direct,,eead5fec-1534-43f0-bbe7-8ba25550259e,1.746,"Vector(-1.000, 0.000)",70.94303874744784,"Vector(7.240, 6.188)",3.3012350724539448,1.739,70.482,1.749,0.002
202,"[np.float64(65.20155919921586), np.float64(65.20918238094691)]","[np.float64(1.749), np.float64(1.75)]","[UUID('135e269a-6cdb-492e-b550-b31392346759'), UUID('135e269a-6cdb-492e-b550-b31392346759')]","(np.float64(9.18006), np.float64(7.00008))",25,"Vector(0.814, -0.580)","Vector(1.940, 0.812)",echo,wall_obstacle_43,135e269a-6cdb-492e-b550-b31392346759,1.746,"Vector(0.634, 0.773)",60.370098922202594,"Vector(7.240, 6.188)",2.102721394954643,1.7427700091738627,65.205,1.749,0.002
203,"[np.float64(65.47862284663906), np.float64(65.48673793137526)]","[np.float64(1.749), np.float64(1.75)]","[UUID('b0407df1-d58d-4055-96d7-f572c5ebf223'), UUID('b0407df1-d58d-4055-96d7-f572c5ebf223')]","(np.float64(8.67008), np.float64(7.00006))",25,"Vector(0.814, -0.580)","Vector(1.430, 0.812)",echo,wall_obstacle_42,b0407df1-d58d-4055-96d7-f572c5ebf223,1.746,"Vector(0.799, 0.601)",67.24881582886024,"Vector(7.240, 6.188)",1.6441257771837288,1.7438510239125216,65.483,1.749,0.002
204,"[np.float64(65.96826439448125), np.float64(65.97433700621387)]","[np.float64(1.749), np.float64(1.75)]","[UUID('b89c10b2-f5da-45e6-8976-93e89233213c'), UUID('b89c10b2-f5da-45e6-8976-93e89233213c')]","(np.float64(8.16009), np.float64(7.00005))",25,"Vector(0.814, -0.580)","Vector(0.920, 0.812)",echo,wall_obstacle_41,b89c10b2-f5da-45e6-8976-93e89233213c,1.746,"Vector(0.879, 0.478)",79.09549892806092,"Vector(7.240, 6.188)",1.2267921278684502,1.7451051879479933,65.971,1.749,0.002
205,"[np.float64(61.762111208556554), np.float64(61.763710059854844)]","[np.float64(1.75), np.float64(1.7510000000000001)]","[UUID('63bcdde5-b04e-4f9f-8b7e-84a537dcab9c'), UUID('63bcdde5-b04e-4f9f-8b7e-84a537dcab9c')]","(np.float64(2.5501), np.float64(0.0))",11,"Vector(0.814, -0.580)","Vector(-4.693, -6.186)",echo,wall_obstacle_49,63bcdde5-b04e-4f9f-8b7e-84a537dcab9c,1.746,"Vector(1.000, 0.000)",-89.52829203917038,"Vector(7.243, 6.186)",7.7648718069263705,1.7273116618075801,61.763,1.75,0.002
206,"[np.float64(71.59852618092604), np.float64(71.60814270564224)]","[np.float64(1.75), np.float64(1.7510000000000001)]","[UUID('4eaeb9eb-7dd6-4f75-917e-690512e00d59'), UUID('4eaeb9eb-7dd6-4f75-917e-690512e00d59')]","(np.int64(10), np.int64(5))",22,"Vector(0.814, -0.580)","Vector(2.757, -1.186)",direct,,4eaeb9eb-7dd6-4f75-917e-690512e00d59,1.746,"Vector(-1.000, 0.000)",14.372823343108111,"Vector(7.243, 6.186)",3.0015264023493113,1.741,71.603,1.75,0.002
207,"[np.float64(69.4147246462815), np.float64(69.42824123700572)]","[np.float64(1.75), np.float64(1.7510000000000001)]","[UUID('45ab2d67-b96b-464b-bf35-323ffbeefac8'), UUID('45ab2d67-b96b-464b-bf35-323ffbeefac8')]","(np.float64(10.0), np.float64(5.0999))",22,"Vector(0.814, -0.580)","Vector(2.757, -1.086)",echo,wall_obstacle_22,45ab2d67-b96b-464b-bf35-323ffbeefac8,1.746,"Vector(0.000, -1.000)",16.147305811771645,"Vector(7.243, 6.186)",2.9634618313722214,1.741291253644315,69.421,1.75,0.002
208,"[np.float64(63.67687914347534), np.float64(63.68313058542781)]","[np.float64(1.75), np.float64(1.7510000000000001)]","[UUID('a236a30f-b7f7-4995-a207-9c5bac03f1c8'), UUID('a236a30f-b7f7-4995-a207-9c5bac03f1c8')]","(np.float64(9.69003), np.float64(7.0001))",25,"Vector(0.814, -0.580)","Vector(2.447, 0.814)",echo,wall_obstacle_44,a236a30f-b7f7-4995-a207-9c5bac03f1c8,1.746,"Vector(0.296, 0.955)",56.04781571860545,"Vector(7.243, 6.186)",2.5788981969244156,1.7420520220015292,63.68,1.75,0.002
209,"[np.float64(66.63827092656071), np.float64(66.63425132716348)]","[np.float64(1.75), np.float64(1.7510000000000001)]","[UUID('8594d9f2-75e8-4937-9191-29f48b3ab835'), UUID('8594d9f2-75e8-4937-9191-29f48b3ab835')]","(np.float64(7.65009), np.float64(7.00004))",25,"Vector(0.814, -0.580)","Vector(0.407, 0.814)",echo,wall_obstacle_40,8594d9f2-75e8-4937-9191-29f48b3ab835,1.746,"Vector(0.920, 0.392)",101.06863877991339,"Vector(7.243, 6.186)",0.9098874251796207,1.7464455395967964,66.636,1.75,0.002
210,"[np.float64(67.57855376592434), np.float64(67.58759306572313)]","[np.float64(1.752), np.float64(1.7530000000000001)]","[UUID('f1a6b28d-1cdd-4e3a-aadf-56c5097e8efa'), UUID('f1a6b28d-1cdd-4e3a-aadf-56c5097e8efa')]","(np.float64(10.0), np.float64(4.5901))",22,"Vector(0.814, -0.580)","Vector(2.752, -1.593)",echo,wall_obstacle_21,f1a6b28d-1cdd-4e3a-aadf-56c5097e8efa,1.746,"Vector(0.000, 1.000)",7.5956470633509525,"Vector(7.248, 6.183)",3.1799014365228366,1.7421950437317786,67.583,1.752,0.002
211,"[np.float64(66.96039188339294), np.float64(66.95637567572136)]","[np.float64(1.752), np.float64(1.7530000000000001)]","[UUID('6f97bcea-b753-416f-8896-e684fb28895b'), UUID('6f97bcea-b753-416f-8896-e684fb28895b')]","(np.float64(7.64995), np.float64(6.99991))",0,"Vector(0.814, -0.580)","Vector(0.402, 0.817)",echo,wall_obstacle_40,6f97bcea-b753-416f-8896-e684fb28895b,1.746,"Vector(-0.462, -0.887)",101.4454177470111,"Vector(7.248, 6.183)",0.9106562562240486,1.7486457960554422,66.958,1.752,0.002
212,"[np.float64(72.97501280853749), np.float64(72.97383207907643)]","[np.float64(1.7530000000000001), np.float64(1.754)]","[UUID('8d25249a-7b0d-46b8-ae2e-d13f9318a9f0'), UUID('8d25249a-7b0d-46b8-ae2e-d13f9318a9f0')]","(np.int64(4), np.int64(0))",12,"Vector(0.814, -0.580)","Vector(-3.250, -6.181)",direct,,8d25249a-7b0d-46b8-ae2e-d13f9318a9f0,1.746,"Vector(0.000, 1.000)",-80.08200156754927,"Vector(7.250, 6.181)",6.983572992358567,1.732,72.974,1.753,0.002
213,"[np.float64(65.23875371229167), np.float64(65.2379512128021)]","[np.float64(1.7530000000000001), np.float64(1.754)]","[UUID('1598b909-69dd-47ae-9623-e787ad27fdb2'), UUID('1598b909-69dd-47ae-9623-e787ad27fdb2')]","(np.float64(4.0799), np.float64(0.0))",12,"Vector(0.814, -0.580)","Vector(-3.170, -6.181)",echo,wall_obstacle_52,1598b909-69dd-47ae-9623-e787ad27fdb2,1.746,"Vector(-1.000, 0.000)",-79.49870914421378,"Vector(7.250, 6.181)",6.946746993348757,1.732232944606414,65.238,1.753,0.002
214,"[np.float64(60.67907323021234), np.float64(60.68432736592518)]","[np.float64(1.754), np.float64(1.7550000000000001)]","[UUID('11cc140d-ea03-4905-ab6c-3b5f636d6212'), UUID('11cc140d-ea03-4905-ab6c-3b5f636d6212')]","(np.float64(8.15992), np.float64(6.99993))",0,"Vector(0.814, -0.580)","Vector(0.907, 0.821)",echo,wall_obstacle_41,11cc140d-ea03-4905-ab6c-3b5f636d6212,1.746,"Vector(-0.756, -0.655)",79.78023246199467,"Vector(7.253, 6.179)",1.223285117746472,1.7495841122954707,60.682,1.754,0.002
215,"[np.float64(63.42111868615777), np.float64(63.42343977199785)]","[np.float64(1.7550000000000001), np.float64(1.756)]","[UUID('453291f4-7868-4294-981e-6943434262e0'), UUID('453291f4-7868-4294-981e-6943434262e0')]","(np.float64(3.5701), np.float64(0.0))",12,"Vector(0.814, -0.580)","Vector(-3.685, -6.178)",echo,wall_obstacle_51,453291f4-7868-4294-981e-6943434262e0,1.746,"Vector(1.000, 0.000)",-83.1615870053936,"Vector(7.255, 6.178)",7.193230197623318,1.7332533527696792,63.422,1.755,0.002
216,[np.float64(74.27580571651747)],[np.float64(1.7590000000000001)],[UUID('eac77fe9-fe47-4d89-a2c2-be12ff1dfc3a')],"(np.int64(9), np.int64(0))",17,"Vector(0.814, -0.580)","Vector(1.738, -6.172)",direct,,eac77fe9-fe47-4d89-a2c2-be12ff1dfc3a,1.746,"Vector(0.000, 1.000)",-36.623059834905916,"Vector(7.262, 6.172)",6.412352868768218,1.74,74.276,1.759,0.001
217,[np.float64(68.41399790189219)],[np.float64(1.844)],[UUID('d71d7267-23c8-4cf6-9fb4-8c8d14250e5e')],"(np.float64(10.0), np.float64(4.5901))",22,"Vector(0.646, -0.763)","Vector(2.551, -1.409)",echo,wall_obstacle_21,d71d7267-23c8-4cf6-9fb4-8c8d14250e5e,1.842,"Vector(0.000, 1.000)",8.737190708303586,"Vector(7.449, 5.999)",2.9145856741053264,1.8341950437317784,68.414,1.844,0.001
218,"[np.float64(72.92327831463453), np.float64(72.92336904980998)]","[np.float64(1.846), np.float64(1.847)]","[UUID('0fd7713d-1255-4180-923a-ee2c1e587f0e'), UUID('0fd7713d-1255-4180-923a-ee2c1e587f0e')]","(np.int64(4), np.int64(0))",12,"Vector(0.646, -0.763)","Vector(-3.455, -5.993)",direct,,0fd7713d-1255-4180-923a-ee2c1e587f0e,1.842,"Vector(0.000, 1.000)",-82.30829823944977,"Vector(7.455, 5.993)",6.917034309716845,1.825,72.923,1.846,0.002
219,"[np.float64(65.22795991670826), np.float64(65.22855312548745)]","[np.float64(1.846), np.float64(1.847)]","[UUID('e72f38d5-c6fe-45eb-bd1b-2086ccbc8c8f'), UUID('e72f38d5-c6fe-45eb-bd1b-2086ccbc8c8f')]","(np.float64(4.0799), np.float64(0.0))",12,"Vector(0.646, -0.763)","Vector(-3.375, -5.993)",echo,wall_obstacle_52,e72f38d5-c6fe-45eb-bd1b-2086ccbc8c8f,1.842,"Vector(-1.000, 0.000)",-81.73161046112685,"Vector(7.455, 5.993)",6.877477573776594,1.825232944606414,65.228,1.846,0.002
220,"[np.float64(63.70378555244873), np.float64(63.70746968587238)]","[np.float64(1.848), np.float64(1.849)]","[UUID('49ebfe6f-b19b-44fe-aba7-2325c22e6f2b'), UUID('49ebfe6f-b19b-44fe-aba7-2325c22e6f2b')]","(np.float64(3.5701), np.float64(0.0))",12,"Vector(0.646, -0.763)","Vector(-3.888, -5.988)",echo,wall_obstacle_51,49ebfe6f-b19b-44fe-aba7-2325c22e6f2b,1.842,"Vector(1.000, 0.000)",-85.34388129798401,"Vector(7.459, 5.988)",7.139730847041784,1.8262533527696792,63.706,1.848,0.002
221,"[np.float64(70.519795453817), np.float64(70.51835202438984)]","[np.float64(1.853), np.float64(1.854)]","[UUID('483e32d8-f052-44d7-957c-1bd92c45ac17'), UUID('483e32d8-f052-44d7-957c-1bd92c45ac17')]","(np.int64(10), np.int64(8))",25,"Vector(0.646, -0.763)","Vector(2.532, 2.023)",direct,,483e32d8-f052-44d7-957c-1bd92c45ac17,1.842,"Vector(-1.000, 0.000)",76.28711525480952,"Vector(7.468, 5.977)",3.2410416497940906,1.843,70.519,1.853,0.002
222,"[np.float64(65.71854344662735), np.float64(65.72059276856194)]","[np.float64(1.853), np.float64(1.854)]","[UUID('a51e9432-050b-403b-8b07-1e3493067247'), UUID('a51e9432-050b-403b-8b07-1e3493067247')]","(np.float64(9.18006), np.float64(7.00008))",25,"Vector(0.646, -0.763)","Vector(1.712, 1.024)",echo,wall_obstacle_43,a51e9432-050b-403b-8b07-1e3493067247,1.842,"Vector(0.634, 0.773)",68.53034588437424,"Vector(7.468, 5.977)",1.9945085996555643,1.8467700091738626,65.72,1.853,0.002
223,"[np.float64(65.91871209016266), np.float64(65.91876593707865)]","[np.float64(1.853), np.float64(1.854)]","[UUID('96f8806e-57c4-4cf8-8a66-d4d2c4b5074f'), UUID('96f8806e-57c4-4cf8-8a66-d4d2c4b5074f')]","(np.float64(8.67008), np.float64(7.00006))",25,"Vector(0.646, -0.763)","Vector(1.202, 1.024)",echo,wall_obstacle_42,96f8806e-57c4-4cf8-8a66-d4d2c4b5074f,1.842,"Vector(0.799, 0.601)",78.07245226613009,"Vector(7.468, 5.977)",1.5786338040533656,1.8478510239125214,65.919,1.853,0.002
224,"[np.float64(65.96659991854702), np.float64(65.96061221877987)]","[np.float64(1.853), np.float64(1.854)]","[UUID('50320eab-4543-4e6a-8ae3-cd255cd2672e'), UUID('50320eab-4543-4e6a-8ae3-cd255cd2672e')]","(np.float64(8.16009), np.float64(7.00005))",25,"Vector(0.646, -0.763)","Vector(0.692, 1.024)",echo,wall_obstacle_41,50320eab-4543-4e6a-8ae3-cd255cd2672e,1.842,"Vector(0.879, 0.478)",93.59632607976636,"Vector(7.468, 5.977)",1.235423269369652,1.8491051879479932,65.964,1.853,0.002
225,"[np.float64(64.11684740786443), np.float64(64.11891483667739)]","[np.float64(1.854), np.float64(1.855)]","[UUID('72e82f2e-8e6e-44a5-af21-2f1944a6df83'), UUID('72e82f2e-8e6e-44a5-af21-2f1944a6df83')]","(np.float64(9.69003), np.float64(7.0001))",25,"Vector(0.646, -0.763)","Vector(2.220, 1.026)",echo,wall_obstacle_44,72e82f2e-8e6e-44a5-af21-2f1944a6df83,1.842,"Vector(0.296, 0.955)",62.4571120023644,"Vector(7.470, 5.974)",2.445451990307722,1.846052022001529,64.118,1.854,0.002
226,[np.float64(72.51852597893738)],[np.float64(1.855)],[UUID('b5b71e35-02b3-4b5b-9d03-0096add7c52c')],"(np.int64(10), np.int64(7))",24,"Vector(0.646, -0.763)","Vector(2.530, 1.026)",direct,,b5b71e35-02b3-4b5b-9d03-0096add7c52c,1.842,"Vector(-1.000, 0.000)",59.725057221801215,"Vector(7.470, 5.974)",2.729890855876843,1.847,72.519,1.855,0.001
227,"[np.float64(60.04211645897825), np.float64(60.047395380311315)]","[np.float64(1.952), np.float64(1.953)]","[UUID('d2dde93e-73d1-416d-aa82-b5462ef92d70'), UUID('d2dde93e-73d1-416d-aa82-b5462ef92d70')]","(np.float64(10.0), np.float64(1.5301))",19,"Vector(0.835, -0.551)","Vector(2.310, -4.251)",echo,wall_obstacle_15,d2dde93e-73d1-416d-aa82-b5462ef92d70,1.95,"Vector(0.000, 1.000)",-23.829812563197777,"Vector(7.690, 5.781)",4.837924718802474,1.937369970845481,60.045,1.952,0.002
228,[np.float64(63.96266151634693)],[np.float64(1.952)],[UUID('d8b524a6-98f1-42fd-93ac-a55d9a2ed2e8')],"(np.float64(10.0), np.float64(6.1201))",24,"Vector(0.835, -0.551)","Vector(2.312, 0.337)",echo,wall_obstacle_24,d8b524a6-98f1-42fd-93ac-a55d9a2ed2e8,1.95,"Vector(0.000, 1.000)",45.955212711161124,"Vector(7.688, 5.783)",2.3365980448720745,1.943565306122449,63.963,1.952,0.001
229,[np.float64(65.12170515652565)],[np.float64(1.952)],[UUID('8f4fce47-f3ab-4908-ae05-be75e7a70c80')],"(np.float64(8.1601), np.float64(7.0))",24,"Vector(0.835, -0.551)","Vector(0.472, 1.217)",echo,wall_obstacle_41,8f4fce47-f3ab-4908-ae05-be75e7a70c80,1.95,"Vector(1.000, 0.000)",106.45094518334385,"Vector(7.688, 5.783)",1.3056188575920618,1.946364139941691,65.122,1.952,0.001
230,"[np.float64(73.9377396528739), np.float64(73.93666414250808)]","[np.float64(1.955), np.float64(1.956)]","[UUID('9b92b1c1-0f25-4cb5-af12-2bc9000b4e01'), UUID('9b92b1c1-0f25-4cb5-af12-2bc9000b4e01')]","(np.int64(5), np.int64(0))",13,"Vector(0.835, -0.551)","Vector(-2.698, -5.776)",direct,,9b92b1c1-0f25-4cb5-af12-2bc9000b4e01,1.95,"Vector(0.000, 1.000)",-77.38137280576801,"Vector(7.698, 5.776)",6.375162457796663,1.936,73.937,1.955,0.002
231,"[np.float64(64.3440207579225), np.float64(64.34357563102057)]","[np.float64(1.955), np.float64(1.956)]","[UUID('fca39605-f2fb-444a-b6c4-ea4476fad796'), UUID('fca39605-f2fb-444a-b6c4-ea4476fad796')]","(np.float64(5.0999), np.float64(0.0))",13,"Vector(0.835, -0.551)","Vector(-2.598, -5.776)",echo,wall_obstacle_54,fca39605-f2fb-444a-b6c4-ea4476fad796,1.95,"Vector(-1.000, 0.000)",-76.56252049449985,"Vector(7.698, 5.776)",6.33353297530691,1.9362912536443149,64.344,1.955,0.002
232,"[np.float64(65.6414084256223), np.float64(65.64360929157831)]","[np.float64(1.957), np.float64(1.958)]","[UUID('8b0c61c9-45a1-41fd-b07b-51bf0a308edb'), UUID('8b0c61c9-45a1-41fd-b07b-51bf0a308edb')]","(np.float64(4.5901), np.float64(0.0))",13,"Vector(0.835, -0.551)","Vector(-3.113, -5.773)",echo,wall_obstacle_53,8b0c61c9-45a1-41fd-b07b-51bf0a308edb,1.95,"Vector(1.000, 0.000)",-80.67938989033088,"Vector(7.703, 5.773)",6.55861474438772,1.9371950437317784,65.643,1.957,0.002
233,"[np.float64(61.00435429370842), np.float64(61.00057455092924)]","[np.float64(1.958), np.float64(1.959)]","[UUID('235ebffc-bc53-44e0-ba12-fec1ab838b02'), UUID('235ebffc-bc53-44e0-ba12-fec1ab838b02')]","(np.float64(8.15996), np.float64(6.99991))",0,"Vector(0.835, -0.551)","Vector(0.455, 1.229)",echo,wall_obstacle_41,235ebffc-bc53-44e0-ba12-fec1ab838b02,1.95,"Vector(-0.366, -0.931)",107.35150337253441,"Vector(7.705, 5.771)",1.3100847653873393,1.953802416448639,61.002,1.958,0.002
234,"[np.float64(75.04210525264438), np.float64(75.04532045369609)]","[np.float64(1.959), np.float64(1.96)]","[UUID('d59cfdb6-d2f2-4a0e-b027-24a42ff991e3'), UUID('d59cfdb6-d2f2-4a0e-b027-24a42ff991e3')]","(np.int64(9), np.int64(0))",17,"Vector(0.835, -0.551)","Vector(1.292, -5.770)",direct,,d59cfdb6-d2f2-4a0e-b027-24a42ff991e3,1.95,"Vector(0.000, 1.000)",-39.72212737042065,"Vector(7.708, 5.770)",5.9124878079620595,1.941,75.044,1.959,0.002
235,"[np.float64(60.0593807714029), np.float64(60.063252012232546)]","[np.float64(1.959), np.float64(1.96)]","[UUID('92b4117c-126b-4314-b137-41bae39d3738'), UUID('92b4117c-126b-4314-b137-41bae39d3738')]","(np.float64(9.1799), np.float64(0.0))",17,"Vector(0.835, -0.551)","Vector(1.472, -5.770)",echo,wall_obstacle_62,92b4117c-126b-4314-b137-41bae39d3738,1.95,"Vector(-1.000, 0.000)",-38.032649457115355,"Vector(7.708, 5.770)",5.954391729244894,1.9415244897959185,60.061,1.959,0.002
