,func,ncalls,ccalls,tottime,cumtime,callers
33,<built-in method builtins.all>,124501,3630,0.20948169600000002,0.050633290000000004,"[_lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae70793030, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/dtypes/inference.py"", line 300>, callcount=3630, reccallcount=0, totaltime=0.001594776, inlinetime=0.001142198), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae6726ae50, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/io/common.py"", line 1229>, callcount=7260, reccallcount=0, totaltime=0.004035814, inlinetime=0.003326373), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae6fc812f0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/common.py"", line 192>, callcount=3630, reccallcount=0, totaltime=0.000550186, inlinetime=0.000550186), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae67554330, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 541>, callcount=3630, reccallcount=0, totaltime=0.001314157, inlinetime=0.0010256920000000001), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae70793330, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/dtypes/common.py"", line 1600>, callcount=197424, reccallcount=0, totaltime=0.06811673800000001, inlinetime=0.038364348), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae674f4880, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/generic.py"", line 5617>, callcount=7260, reccallcount=0, totaltime=0.08307512900000001, inlinetime=0.004279911), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae677f32d0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 5689>, callcount=7260, reccallcount=0, totaltime=0.005650876, inlinetime=0.002302091), _lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae668e0b70, file ""/home/adityamoger/Documents/GitHub/dynamic_model_of_cocktail_party_nightmare/dynamic_model/supporting_files/supporting_functions_for_consistency.py"", line 79>, callcount=855, reccallcount=0, totaltime=0.002620845, inlinetime=0.002620845)]"
34,<built-in method builtins.any>,357,0,0.003775898,0.000268279,"[_lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae6688dce0, file ""/home/adityamoger/Documents/GitHub/dynamic_model_of_cocktail_party_nightmare/dynamic_model/supporting_files/supporting_functions_for_consistency.py"", line 78>, callcount=506, reccallcount=0, totaltime=0.003507619, inlinetime=0.000504522)]"
35,<built-in method builtins.callable>,15013792,0,0.875837874,0.875837874,
36,<built-in method builtins.chr>,100,0,1.883e-05,1.883e-05,
37,<built-in method builtins.getattr>,1723662,0,0.188935386,0.18793869400000002,"[_lsprof.profiler_subentry(code=<code object allows_duplicate_labels at 0x7eae6778c2d0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/flags.py"", line 55>, callcount=10, reccallcount=0, totaltime=9.01e-07, inlinetime=9.01e-07), _lsprof.profiler_subentry(code=<code object name at 0x7eae67803c90, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 1678>, callcount=7260, reccallcount=0, totaltime=0.000995791, inlinetime=0.000995791)]"
38,<built-in method builtins.hasattr>,195364,0,0.054070785,0.035691335000000005,"[_lsprof.profiler_subentry(code=<code object name at 0x7eae67166410, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/series.py"", line 734>, callcount=29274, reccallcount=0, totaltime=0.002178315, inlinetime=0.002178315), _lsprof.profiler_subentry(code=<code object dtype at 0x7eae67137d20, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/series.py"", line 707>, callcount=43911, reccallcount=0, totaltime=0.016201135000000002, inlinetime=0.008828309000000001)]"
39,<built-in method builtins.hash>,15225736,0,1.210845841,1.210845841,
40,<built-in method builtins.isinstance>,80538587,47541,5.595624643000001,5.288578799000001,"[_lsprof.profiler_subentry(code=<code object __instancecheck__ at 0x55893d5ab9a0, file ""<frozen abc>"", line 117>, callcount=50873, reccallcount=0, totaltime=0.026545745000000003, inlinetime=0.009311822), _lsprof.profiler_subentry(code=<code object _instancecheck at 0x7eae70792830, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/dtypes/generic.py"", line 42>, callcount=616980, reccallcount=0, totaltime=0.289451016, inlinetime=0.129502483)]"
41,<built-in method builtins.issubclass>,233625,0,0.024140652000000002,0.024140652000000002,
42,<built-in method builtins.iter>,3630,0,0.000578004,0.000578004,
