,index,parameter,odds_ratio,parameter_value,ci_low,ci_high,pvalue,coeffs
0,0,experiment_type,1.0,positive control,1.0,1.0,0.0,0.0
2,0,experiment_type,1.2282960004126657,negative_control,1.1844577791307076,1.2737567275188304,1.4106064205968457e-28,0.20562784336015505
3,1,experiment_type,1.3663960510658943,null,1.3177471739090882,1.4168409580647507,6.606260788337776e-64,0.31217665402010464
4,2,experiment_type,0.9989535902544033,treatment,0.9631077611870656,1.0361335623048076,0.9552199370757534,-0.0010469576145047854
1,1,group_size,1.0,50,1.0,1.0,0.0,0.0
