,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED
107,169,15,0.0602,1,iteration_number_7,3
108,145,14,0.0570333333333333,1,iteration_number_8,3
109,151,14,0.0560333333333333,1,iteration_number_9,3
110,196,15,0.0609666666666667,1,iteration_number_10,3
111,205,15,0.0612333333333333,1,iteration_number_11,3
112,192,16,0.0618666666666667,1,iteration_number_12,3
113,182,13,0.0656333333333333,1,iteration_number_13,3
114,93,13,0.0702333333333333,1,iteration_number_14,3
115,167,11,0.0625666666666667,1,iteration_number_15,3
116,160,13,0.0601,1,iteration_number_16,3
117,145,14,0.0586666666666667,1,iteration_number_17,3
118,162,11,0.0577,1,iteration_number_18,3
119,105,11,0.0541666666666667,1,iteration_number_19,3
120,196,16,0.0632,1,iteration_number_20,3
121,153,12,0.0635333333333333,1,iteration_number_21,3
122,185,14,0.0583666666666667,1,iteration_number_22,3
123,105,12,0.0578666666666667,1,iteration_number_23,3
124,126,14,0.0558666666666667,1,iteration_number_24,3
125,197,15,0.0616,1,iteration_number_25,3
126,152,13,0.0603666666666667,1,iteration_number_26,3
127,67,13,0.0368333333333333,1,iteration_number_27,3
128,180,15,0.0611666666666667,1,iteration_number_28,3
129,111,13,0.0364333333333333,1,iteration_number_29,3
130,177,14,0.0632666666666667,1,iteration_number_30,3
131,52,14,0.0578666666666667,1,iteration_number_31,3
132,186,14,0.0605333333333333,1,iteration_number_32,3
133,131,10,0.0579333333333333,1,iteration_number_33,3
134,117,13,0.0368333333333333,1,iteration_number_34,3
135,73,14,0.0576,1,iteration_number_35,3
136,180,13,0.0627,1,iteration_number_36,3
137,198,15,0.0589,1,iteration_number_37,3
138,197,14,0.0615333333333333,1,iteration_number_38,3
139,179,14,0.0593666666666667,1,iteration_number_39,3
140,199,15,0.0585,1,iteration_number_40,3
141,169,15,0.0589666666666667,1,iteration_number_41,3
142,171,14,0.0547666666666667,1,iteration_number_42,3
143,200,15,0.0621,1,iteration_number_43,3
144,196,15,0.0609666666666667,1,iteration_number_44,3
145,193,14,0.0635333333333333,1,iteration_number_45,3
146,147,12,0.0562,1,iteration_number_46,3
147,171,15,0.0619,1,iteration_number_47,3
148,121,12,0.0547,1,iteration_number_48,3
149,172,11,0.0561666666666667,1,iteration_number_49,3
150,162,14,0.0565666666666667,1,iteration_number_50,3
151,194,13,0.0601,1,iteration_number_51,3
152,138,15,0.0613666666666667,1,iteration_number_52,3
153,168,14,0.0598666666666667,1,iteration_number_53,3
154,138,14,0.0540333333333333,1,iteration_number_54,3
155,198,14,0.0603333333333333,1,iteration_number_55,3
156,194,15,0.0581,1,iteration_number_56,3
157,170,14,0.0636,1,iteration_number_57,3
158,84,9,0.0255,1,iteration_number_58,3
159,196,16,0.0632666666666667,1,iteration_number_59,3
160,201,16,0.0626,1,iteration_number_60,3
161,22,9,0.0255,1,iteration_number_61,3
162,163,14,0.0565666666666667,1,iteration_number_62,3
163,198,15,0.0635,1,iteration_number_63,3
164,203,14,0.0603333333333333,1,iteration_number_64,3
165,52,14,0.0578666666666667,1,iteration_number_65,3
166,193,15,0.0639666666666667,1,iteration_number_66,3
167,197,16,0.0630666666666667,1,iteration_number_67,3
168,195,14,0.0588,1,iteration_number_68,3
169,197,14,0.0632666666666667,1,iteration_number_69,3
170,145,14,0.0586666666666667,1,iteration_number_70,3
171,188,16,0.0634666666666667,1,iteration_number_71,3
172,178,13,0.0593,1,iteration_number_72,3
173,195,14,0.0596666666666667,1,iteration_number_73,3
174,186,13,0.0635,1,iteration_number_74,3
175,112,12,0.0549666666666667,1,iteration_number_75,3
176,157,15,0.0612333333333333,1,iteration_number_76,3
177,169,14,0.0636666666666667,1,iteration_number_77,3
178,165,16,0.0633333333333333,1,iteration_number_78,3
179,187,15,0.0587,1,iteration_number_79,3
180,188,15,0.0591666666666667,1,iteration_number_80,3
181,95,13,0.0649,1,iteration_number_81,3
182,171,12,0.0623333333333333,1,iteration_number_82,3
